,PMIDs
753,3234607
754,1340834
755,11113837
756,11433088
757,6525357
758,15678233
759,3717993
760,9797593
761,3430263
762,12674840
763,8813983
764,8957948
765,16541716
766,1678797
767,14516239
768,2299491
769,6630328
770,3690941
771,2197381
772,7021431
773,3792434
774,6368614
775,3365916
776,6763202
777,6392354
778,8387662
779,6354602
780,3540871
781,6359083
782,3326676
783,6991540
784,6371063
785,3287907
786,3311548
787,3540870
788,1951565
789,15913621
790,9332992
791,4050895
792,8765270
793,19517694
794,12706276
795,1453405
796,2758900
797,10192481
798,2008006
799,3904456
800,2193511
801,2187344
802,10023873
803,6742017
804,18476075
805,17990196
806,16858633
807,20684019
808,11068889
809,17135993
810,11748599
811,21199975
812,18945398
813,20855048
814,21813428
815,19439099
816,17667483
817,3905917
818,1059514
819,1756217
820,295702
821,6594021
822,9383759
823,1913770
824,6593805
825,6334524
826,8967706
827,2758767
828,4583792
829,5443653
830,16818861
831,15064028
832,1346182
833,4011073
834,8518240
835,15103233
836,12179676
837,11641669
838,2390552
839,3627885
840,1557274
841,8603321
842,10579259
843,11008978
844,8705223
845,2203517
846,8518017
847,9563140
848,2285605
849,8367920
850,1834864
851,3309973
852,2681086
853,3116551
854,2151276
855,8776812
856,2144207
857,2973169
858,9186345
859,2503724
860,9761805
861,8252509
862,6624427
863,13954597
864,6726466
865,13907465
866,13836053
867,2670188
868,10102851
869,9679262
870,17562639
871,7059922
872,11847803
873,3027267
874,21131165
875,20541832
876,20832982
877,8931065
878,20164474
879,10660924
880,20392515
881,12433764
882,16256897
883,15781177
884,16565618
885,18788966
886,17999405
887,17267931
888,1483075
889,16816226
890,16329131
891,15599947
892,18393319
893,15480990
894,11482465
895,15274267
896,17551726
897,12151889
898,18559469
899,9870832
900,9081359
901,2182447
902,12447954
903,10865914
904,8156515
905,8172437
906,7935568
907,9462438
908,10808206
909,8922787
910,6987043
911,1467292
912,4267681
913,4204032
914,6416259
915,16415194
916,10402283
917,15482031
918,2201941
919,10216323
920,8135557
921,3510384
922,8135557
923,2882288
924,766619
925,9375539
926,3053605
927,2188543
928,7899118
929,7846337
930,8414819
931,21633770
932,8788268
933,16547380
934,14581795
935,20416995
936,17479642
937,9403648
938,15121931
939,12838195
940,15941893
941,21463215
942,20008945
943,18843564
944,18552625
945,3553986
946,9066350
947,2893583
948,9066350
949,6150321
950,9066350
951,17456571
952,19079957
953,12964289
954,21949432
955,19430987
956,20331372
957,17613574
958,13572865
959,15743283
960,20501583
961,22503739
962,20482476
963,22544817
964,20598577
965,16088114
966,22330025
967,11812553
968,2222100
969,10705056
970,7695302
971,10348762
972,17002722
973,11355560
974,16371154
975,12774949
976,6339686
977,2360466
978,2711309
979,8780077
980,9621526
981,8149802
982,10195718
983,9749850
984,10023558
985,8873520
986,10069634
987,9446392
988,10715982
989,9481395
990,9198569
991,19504425
992,20659937
993,20659937
994,18057479
995,11759644
996,16126045
997,17568029
998,20206784
999,11158461
1000,17568029
1001,11842709
1002,11082090
1003,17592691
1004,11828049
1005,11050257
1006,12570110
1007,11050258
1008,9315992
1009,9989566
1010,9545995
1011,17487874
1012,14972468
1013,18972914
1014,20201841
1015,19233390
1016,18448235
1017,11018619
1018,19042267
1019,18384853
1020,21741700
1021,21741700
1022,10675166
1023,11998139
1024,16406909
1025,17763226
1026,12796664
1027,9440013
1028,12853806
1029,10604344
1030,16002204
1031,11135382
1032,2919094
1033,6571974
1034,3914177
1035,2478336
1036,322491
1037,7050953
1038,373124
1039,2268862
1040,6366104
1041,3680556
1042,2228077
1043,387065
1044,8330429
1045,2646753
